Column2;Column3;Column4
0.340893;0.175439;0.319659
0.102175;0.084497;0.186253
0.069303;0.150664;0.115067
-0.029693;0.107150;0.045914
-0.250797;0.115947;-0.030777
-0.134187;0.110058;-0.121779
-0.091135;0.184242;-0.064978
-0.121303;0.153590;0.025457
-0.054948;0.216392;0.055990
0.053239;0.137033;0.120236
0.018334;0.271727;0.195365
-0.125331;0.097159;0.114359
-0.161676;0.077974;-0.152807
-0.103665;-0.058304;-0.205933
-0.184991;0.009887;-0.187649
0.004852;-0.024087;-0.204170
0.246969;0.008235;-0.116622
0.218888;0.101408;0.070234
0.157971;0.152633;0.205831
0.061374;0.182181;0.163074
-0.024395;0.183230;0.192173
-0.001764;0.116197;0.086261
0.100002;0.010405;-0.139703
0.087155;0.065118;-0.086137
0.045793;-0.058024;-0.007530
0.060648;0.130443;0.036448
0.066019;0.063581;0.103648
0.135017;0.082796;0.039603
0.262289;0.167343;0.086945
0.078207;0.042873;-0.071124
-0.016107;0.141471;-0.163737
0.072403;-0.103982;-0.205323
-0.004913;0.082089;-0.203712
-0.023589;-0.077440;-0.016953
-0.004077;0.047567;0.098955
0.133582;-0.017759;0.048331
0.041710;-0.136310;0.069746
0.042601;-0.036029;-0.062030
0.082547;-0.177953;-0.024527
-0.026495;-0.085109;-0.102786
-0.088846;-0.072911;-0.039168
-0.187152;-0.048776;0.082453
-0.247605;-0.038620;0.127279
-0.202153;0.024597;0.209603
-0.067429;-0.063370;0.042777
-0.048344;0.095531;0.031816
0.117000;0.022146;-0.073602
0.135120;0.113996;-0.142737
0.127382;0.059149;-0.151098
0.192436;0.088417;-0.165745
0.202318;0.111582;-0.112972
0.049156;0.082796;-0.022525
-0.012060;-0.018869;-0.045436
0.053361;0.140551;-0.003710
0.035344;-0.044984;-0.083952
0.033690;-0.041193;-0.109908
0.102913;0.016824;0.013476
0.065348;-0.058018;-0.041213
0.003863;-0.021295;-0.022416
0.085623;-0.173917;-0.114980
0.018078;-0.021496;0.102776
-0.069437;-0.073691;0.114378
0.032481;-0.243029;-0.053632
-0.036382;-0.144302;0.146638
-0.062870;-0.193528;0.042222
0.021984;-0.116601;0.086566
0.093563;-0.106939;-0.035690
-0.067631;-0.077013;0.018585
-0.167432;-0.070411;-0.061304
-0.249997;-0.048514;-0.099423
-0.338690;-0.157604;-0.056586
-0.204711;-0.049258;-0.064667
-0.008392;-0.012382;-0.030850
0.079715;-0.032628;-0.003429
0.146534;-0.024764;-0.099198
0.110585;-0.079269;-0.132978
-0.078220;-0.017613;-0.087785
-0.018829;-0.063407;-0.170389
-0.003253;-0.031616;-0.032180
0.025591;-0.074813;-0.137287
0.001367;-0.011675;0.127121
-0.022772;8.421928E-5;-0.021891
0.023418;0.033680;0.055252
0.133900;-0.050782;0.036717
0.226804;0.183004;0.085596
0.214927;0.063100;0.107536
0.081448;0.128779;-0.056318
0.098562;0.036728;-0.045912
-0.132728;0.056107;0.067018
-0.223027;-0.003342;0.031151
-0.078714;-0.059652;0.042179
-0.065696;0.129456;0.127554
-0.048076;-0.003287;0.147041
-0.066410;0.038679;0.012366
-0.090659;0.032247;0.005237
-0.154944;0.023640;-0.021232
-0.181543;0.089301;-0.155052
-0.097696;-0.125642;-0.134925
-0.069102;0.118611;-0.112905
-0.064341;0.048268;0.029124
-0.025189;0.138478;0.084888
0.124428;0.022975;0.020953
0.142402;0.036191;0.117118
0.090823;0.006284;-0.034976
-0.019335;0.049908;-0.053486
-0.026794;-0.029019;-0.101907
-0.034594;0.042983;-0.083360
-0.048405;-0.039620;0.069246
-0.054924;-0.011718;0.142213
0.136585;0.184967;0.281869
0.262551;0.000584;0.243902
0.196190;0.089435;0.118497
0.274452;0.067684;0.057510
0.080423;0.073737;-0.059772
-0.137721;0.004681;-0.246720
-0.149000;-0.081799;-0.305419
-0.181543;0.080589;-0.124074
-0.174817;-0.025440;-0.073382
-0.003772;0.033540;-0.002056
0.107564;0.069165;0.073439
-0.053489;-0.041461;0.127859
-0.075480;0.025395;0.030797
-0.011999;-0.049313;-0.043782
-0.203154;0.083625;0.055239
-0.126412;0.101627;0.012720
-0.080674;0.165709;0.137307
-0.126845;0.087569;0.113407
0.030126;0.171007;0.161267
-0.004248;0.247556;0.237305
0.043663;0.052724;0.079755
0.255770;0.030461;0.016034
0.116524;0.073024;0.039262
-0.211937;-0.043911;0.020666
-0.140089;-0.035846;-0.040877
0.080490;-0.168205;-0.141723
0.054258;-0.140017;-0.019309
0.165826;-0.127769;-0.012223
0.297547;-0.159439;-0.094065
0.209312;-0.206574;-0.103720
0.014782;-0.230373;-0.102981
-0.052702;-0.103976;-0.052577
-0.119674;-0.180330;-0.065613
-0.060325;-0.158122;-0.207227
0.008434;0.064002;0.005671
-0.048235;0.015879;-0.027676
0.111476;0.040483;0.084631
0.220090;0.015373;0.005372
0.084097;0.062691;0.200107
0.055540;0.013508;0.229468
0.032164;-0.023118;0.093670
-0.110995;-0.069716;0.125009
-0.267971;-0.065108;0.182841
-0.180713;0.005626;0.057131
-0.099710;-0.105494;0.057058
-0.202074;-0.061285;0.025933
-0.160572;-0.129519;0.014197
-0.055943;-0.146271;-0.096848
-0.003363;-0.167303;-0.170609
0.054185;-0.195930;-0.145623
0.200719;-0.086200;-0.166465
0.225364;-0.118388;-0.189766
0.150507;-0.063321;-0.128852
0.146375;-0.019728;-0.119093
0.121351;-0.057591;-0.035403
0.092452;-0.058012;-0.002343
0.062296;-0.012888;-0.005065
0.008904;0.007448;0.100231
-0.009967;0.036990;0.090472
0.051103;0.170416;0.167309
0.010082;0.052395;0.199661
-0.025048;0.061417;0.115476
-0.010046;0.065233;0.084534
-0.193285;0.000773;0.046189
-0.156751;-0.006286;-0.035110
-0.043047;0.006522;0.034849
0.054063;-0.008018;0.053006
0.098208;0.054522;0.159113
0.134968;-0.045759;0.082233
0.113027;0.085637;0.062966
-0.014148;0.056973;0.000861
-0.130580;0.079425;-0.140057
-0.096634;0.020811;-0.190035
-0.093271;0.137472;-0.143347
-0.096335;0.065892;-0.054359
-0.014557;0.174488;-0.039522
0.146656;0.069568;-0.015965
0.151752;0.183400;0.004462
0.033415;0.069056;-0.030771
-0.072855;0.039374;-0.047792
-0.017877;0.033985;-0.009172
0.020885;-0.075008;0.036582
0.088131;-0.015443;0.046872
0.220420;-0.111310;0.162811
0.227225;0.052566;0.237024
0.135481;-0.089766;0.177672
0.039866;-0.192272;0.109654
-0.005054;-0.066199;0.049197
-0.151295;-0.064913;0.084473
-0.193145;-0.084652;-0.153063
-0.028759;-0.029634;-0.295416
-0.039348;-0.071801;-0.144189
-0.122261;0.022695;-0.213861
-0.011908;-0.059219;-0.057410
0.112233;-0.065449;-0.079723
0.020720;-0.001647;0.147700
-0.076450;-0.053702;0.143275
-0.114028;-0.091571;0.025176
-0.171790;0.031693;0.089190
-0.084989;-0.096228;-0.031466
-0.049535;0.099445;-0.013768
0.018621;-0.054756;-0.010094
0.049089;0.187668;0.035905
0.040819;0.285211;0.112943
0.002960;0.143952;0.133669
0.207414;0.302165;0.112596
0.224363;0.256127;0.165857
-0.042034;0.287979;0.080805
0.008087;0.177213;-0.079381
-0.050462;0.045451;-0.193410
-0.237583;0.157321;-0.028372
-0.100320;0.038124;-0.045741
0.112435;0.013837;-0.121327
0.212504;-0.104958;-0.125129
0.035496;-0.068131;-0.044771
-0.109365;-0.117936;-0.187228
-0.157685;-0.260482;-0.279884
-0.216002;-0.230361;-0.265120
-0.176410;-0.236786;-0.195033
-0.134132;-0.109030;0.038242
-0.008160;-0.139529;0.051578
0.131660;-0.028092;0.123404
0.091421;0.064630;0.222621
0.045958;-0.077775;0.198886
0.068405;0.098189;0.150562
0.014385;-0.120021;0.028569
-0.158875;-0.038096;0.034123
-0.101260;-0.021203;-0.005071
-0.039513;-0.112078;-0.107748
-0.064817;0.090136;0.033940
0.048405;-0.154708;-0.100333
0.095455;0.025962;-0.049232
0.126051;-0.181171;-0.101718
0.161731;-0.145857;-0.222845
0.199638;-0.153337;-0.147741
-0.029491;-0.143400;-0.205665
-0.019390;-0.100008;-0.140692
0.025280;-0.114901;-0.107028
-0.068803;-0.064583;-0.007280
0.024840;-0.017844;0.060824
0.082931;-0.093351;-0.081572
-0.029949;0.053736;-0.021585
-0.167023;-0.080561;-0.002648
-0.156226;0.031357;-0.122255
-0.093869;-0.079683;-0.023410
-0.079715;0.034283;0.080433
0.117384;0.140630;0.039329
0.067093;-0.005890;0.077863
-0.044530;0.102609;0.047366
0.045646;0.082833;0.060476
0.022704;0.068330;-0.012108
0.088143;0.045915;-0.048732
0.258132;0.099835;-0.005931
0.157660;0.165289;-0.033859
0.037150;0.154925;-0.069073
0.021166;0.201518;-0.047847
-0.091128;0.176164;-0.073418
-0.210991;0.146543;-0.004174
-0.135072;0.057077;-0.083610
-0.074424;0.191057;-0.060572
-0.169745;0.000968;0.025042
-0.165674;0.133802;0.001759
0.020354;0.099213;0.051602
-0.057310;-0.001757;0.130465
0.040263;0.140472;0.111253
0.126948;0.005193;0.160846
0.078842;0.032723;0.112821
0.255648;0.077359;0.107829
0.238834;0.010356;0.107609
0.189757;0.030607;0.049588
0.192565;-0.005701;0.170849
0.087069;-0.094137;-0.020096
-0.017236;0.005150;0.014502
-0.043602;-0.058158;-0.060706
-0.088040;-0.028824;-0.119588
-0.139265;-0.028062;-0.060871
-0.227195;-0.091382;-0.048018
-0.182129;-0.098002;-0.002568
-0.069175;-0.130866;-0.008470
-0.037920;-0.178325;0.008155
0.069638;-0.042229;0.038334
0.040642;-0.165565;0.018585
-0.056797;-0.083347;0.010828
0.002240;-0.082872;0.014789
0.029656;-0.049623;0.000593
0.093173;0.049377;0.062258
0.062308;0.037612;0.077070
-0.022418;0.156309;0.086871
-0.056157;0.024274;0.127816
-0.029137;0.039587;0.076252
0.020781;0.201719;0.190702
0.022747;0.162850;0.188236
0.068753;0.209522;0.056484
0.110420;0.156815;0.071388
-0.072105;0.182766;0.102324
-0.099929;0.146830;0.032853
